Symbol,Name,Sector,Sector Ticker,Sector ETF Ticker,,,,,,
JNPR,Juniper Networks,Information Technology,^SP500-45,IYW,,- 'JNPR',,,,
JPM,JPMorgan Chase & Co.,Financials,^SP500-40,IYF,,- 'JPM',,,,
JWN,Nordstrom,Consumer Discretionary,^SP500-25,XLY,,- 'JWN',,,,
K,Kellogg Co.,Consumer Staples,^SP500-30,VDC,,- 'K',,,,
KDP,Keurig Dr Pepper Inc.,Consumer Staples,^SP500-30,VDC,,- 'KDP',,,,
KEY,KeyCorp,Financials,^SP500-40,IYF,,- 'KEY',,,,
KHC,Kraft Heinz Co,Consumer Staples,^SP500-30,VDC,,- 'KHC',,,,
KIM,Kimco Realty,Real Estate,^SP500-60,IYR,,- 'KIM',,,,
KLAC,KLA-Tencor Corp.,Information Technology,^SP500-45,IYW,,- 'KLAC',,,,
KMB,Kimberly-Clark,Consumer Staples,^SP500-30,VDC,,- 'KMB',,,,
KMI,Kinder Morgan,Energy,^SP500-10,IYE,,- 'KMI',,,,
KMX,Carmax Inc,Consumer Discretionary,^SP500-25,XLY,,- 'KMX',,,,
KO,Coca-Cola Company (The),Consumer Staples,^SP500-30,VDC,,- 'KO',,,,
KR,Kroger Co.,Consumer Staples,^SP500-30,VDC,,- 'KR',,,,
KSS,Kohl's Corp.,Consumer Discretionary,^SP500-25,XLY,,- 'KSS',,,,
KSU,Kansas City Southern,Industrials,^SP500-20,IYJ,,- 'KSU',,,,
L,Loews Corp.,Financials,^SP500-40,IYF,,- 'L',,,,
LB,L Brands Inc.,Consumer Discretionary,^SP500-25,XLY,,- 'LB',,,,
LEG,Leggett & Platt,Consumer Discretionary,^SP500-25,XLY,,- 'LEG',,,,
LEN,Lennar Corp.,Consumer Discretionary,^SP500-25,XLY,,- 'LEN',,,,
LH,Laboratory Corp. of America Holding,Health Care,^SP500-35,IYH,,- 'LH',,,,
LKQ,LKQ Corporation,Consumer Discretionary,^SP500-25,XLY,,- 'LKQ',,,,
LLY,Lilly (Eli) & Co.,Health Care,^SP500-35,IYH,,- 'LLY',,,,
LMT,Lockheed Martin Corp.,Industrials,^SP500-20,IYJ,,- 'LMT',,,,
LNC,Lincoln National,Financials,^SP500-40,IYF,,- 'LNC',,,,
LNT,Alliant Energy Corp,Utilities,^SP500-55,IDU,,- 'LNT',,,,
LOW,Lowe's Cos.,Consumer Discretionary,^SP500-25,XLY,,- 'LOW',,,,
LRCX,Lam Research,Information Technology,^SP500-45,IYW,,- 'LRCX',,,,
LULU,Lululemon Athletica,Consumer Discretionary,^SP500-25,XLY,,- 'LULU',,,,
LUV,Southwest Airlines,Industrials,^SP500-20,IYJ,,- 'LUV',,,,
LYB,LyondellBasell,Materials,^SP500-15,IYM,,- 'LYB',,,,
M,Macy's Inc.,Consumer Discretionary,^SP500-25,XLY,,- 'M',,,,
MA,Mastercard Inc.,Information Technology,^SP500-45,IYW,,- 'MA',,,,
MAA,Mid-America Apartments,Real Estate,^SP500-60,IYR,,- 'MAA',,,,
MAC,Macerich,Real Estate,^SP500-60,IYR,,- 'MAC',,,,
MAR,Marriott Int'l.,Consumer Discretionary,^SP500-25,XLY,,- 'MAR',,,,
MAS,Masco Corp.,Industrials,^SP500-20,IYJ,,- 'MAS',,,,
MAT,Mattel Inc.,Consumer Discretionary,^SP500-25,XLY,,- 'MAT',,,,
MCD,McDonald's Corp.,Consumer Discretionary,^SP500-25,XLY,,- 'MCD',,,,
MCHP,Microchip Technology,Information Technology,^SP500-45,IYW,,- 'MCHP',,,,
MCK,McKesson Corp.,Health Care,^SP500-35,IYH,,- 'MCK',,,,
MCO,Moody's Corp,Financials,^SP500-40,IYF,,- 'MCO',,,,
MDLZ,Mondelez International,Consumer Staples,^SP500-30,VDC,,- 'MDLZ',,,,
MDT,Medtronic plc,Health Care,^SP500-35,IYH,,- 'MDT',,,,
MELI,MercadoLibre,Consumer Discretionary,^SP500-25,XLY,,- 'MELI',,,,
MET,MetLife Inc.,Financials,^SP500-40,IYF,,- 'MET',,,,
MGM,MGM Resorts International,Consumer Discretionary,^SP500-25,XLY,,- 'MGM',,,,
MHK,Mohawk Industries,Consumer Discretionary,^SP500-25,XLY,,- 'MHK',,,,
MKC,McCormick & Co.,Consumer Staples,^SP500-30,VDC,,- 'MKC',,,,
MLM,Martin Marietta Materials,Materials,^SP500-15,IYM,,- 'MLM',,,,
MMC,Marsh & McLennan,Financials,^SP500-40,IYF,,- 'MMC',,,,
MMM,3M Company,Industrials,^SP500-20,IYJ,,- 'MMM',,,,
MNST,Monster Beverage,Consumer Staples,^SP500-30,VDC,,- 'MNST',,,,
MO,Altria Group Inc,Consumer Staples,^SP500-30,VDC,,- 'MO',,,,
MOS,The Mosaic Company,Materials,^SP500-15,IYM,,- 'MOS',,,,
MPC,Marathon Petroleum,Energy,^SP500-10,IYE,,- 'MPC',,,,
MRK,Merck & Co.,Health Care,^SP500-35,IYH,,- 'MRK',,,,
MRNA,Moderna,Health Care,^SP500-35,IYH,,- 'MRNA',,,,
MRO,Marathon Oil Corp.,Energy,^SP500-10,IYE,,- 'MRO',,,,
MRVL,Marvell Technology Group,Information Technology,^SP500-45,IYW,,- 'MRVL',,,,
MS,Morgan Stanley,Financials,^SP500-40,IYF,,- 'MS',,,,
MSFT,Microsoft Corp.,Information Technology,^SP500-45,IYW,,- 'MSFT',,,,
MSI,Motorola Solutions Inc.,Information Technology,^SP500-45,IYW,,- 'MSI',,,,
MTB,M&T Bank Corp.,Financials,^SP500-40,IYF,,- 'MTB',,,,
MTCH,Match Group,Communication Services,^SP500-50,IYZ,,- 'MTCH',,,,
